outcome,studentEmail,sponsorship
REJECTED_APPLICATION_LIST,student.1783727097416.3@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_APPLICATION_LIST,student.1783727097416.4@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_APPLICATION_LIST,student.1783727097416.5@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.6@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.7@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.8@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.9@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.10@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.11@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.12@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.13@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.14@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.15@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.16@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.17@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.18@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.19@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.20@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.21@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.22@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.23@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.24@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.25@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.26@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.27@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.28@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.29@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.30@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.31@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.32@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.33@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.34@example.com,Bulk Sponsorship 1783727097416-2
AWARDED,student.1783727097416.35@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.36@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.37@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.38@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.39@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.40@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.41@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.42@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.43@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.44@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_POOLING,student.1783727097416.45@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_APPLICATION_LIST,student.1783727097416.46@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_APPLICATION_LIST,student.1783727097416.47@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_APPLICATION_LIST,student.1783727097416.48@example.com,Bulk Sponsorship 1783727097416-2
REJECTED_APPLICATION_LIST,student.1783727097416.49@example.com,Bulk Sponsorship 1783727097416-2
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.0@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.1@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.2@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.3@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.4@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.5@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.6@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.7@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.8@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.9@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.10@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.11@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.12@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.13@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.14@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.15@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.16@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.17@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.18@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.19@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.20@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.21@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.22@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.23@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.24@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.25@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.26@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.27@example.com,Bulk Sponsorship 1783727097416-3
AWARDED,student.1783727097416.28@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.29@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.30@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.31@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.32@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.33@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.34@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.35@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.36@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.37@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_POOLING,student.1783727097416.38@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.39@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.40@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.41@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.42@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.43@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.44@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.45@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.46@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.47@example.com,Bulk Sponsorship 1783727097416-3
REJECTED_APPLICATION_LIST,student.1783727097416.48@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.49@example.com,Bulk Sponsorship 1783727097416-3
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.0@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.1@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.2@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.3@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.4@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.5@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.6@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.7@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.8@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.9@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.10@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.11@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.12@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.13@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.14@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.15@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.16@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.17@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.18@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.19@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.20@example.com,Bulk Sponsorship 1783727097416-4
AWARDED,student.1783727097416.21@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.22@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.23@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.24@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.25@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.26@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.27@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.28@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.29@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.30@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_POOLING,student.1783727097416.31@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.32@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.33@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.34@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.35@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.36@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.37@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.38@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.39@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.40@example.com,Bulk Sponsorship 1783727097416-4
REJECTED_APPLICATION_LIST,student.1783727097416.41@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.42@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.43@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.44@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.45@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.46@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.47@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.48@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.49@example.com,Bulk Sponsorship 1783727097416-4
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.0@example.com,Bulk Sponsorship 1783727097416-5
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.1@example.com,Bulk Sponsorship 1783727097416-5
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.2@example.com,Bulk Sponsorship 1783727097416-5
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.3@example.com,Bulk Sponsorship 1783727097416-5
IN_RANKING (PENDING_RANKING_SELECTION),student.1783727097416.4@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.5@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.6@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.7@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.8@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.9@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.10@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.11@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.12@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.13@example.com,Bulk Sponsorship 1783727097416-5
AWARDED,student.1783727097416.14@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.15@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.16@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.17@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.18@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.19@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.20@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.21@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.22@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.23@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_POOLING,student.1783727097416.24@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.25@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.26@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.27@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.28@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.29@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.30@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.31@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.32@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.33@example.com,Bulk Sponsorship 1783727097416-5
REJECTED_APPLICATION_LIST,student.1783727097416.34@example.com,Bulk Sponsorship 1783727097416-5
